Артикул продавца,product_id,Артикул МП,Категория,МП,Юр лицо,date,Дата,Заказы шт,Средний чек 1 заказ (РУБ),Себестоимость 1 шт (РУБ),Себестоимость Тотал (РУБ),Комиссия МП  (РУБ),Хранение МП (РУБ),Логистика МП,Фуллфилмент БЕТА-ПРО (тотал),% выкупа,Рекламные расходы (РУБ),ДРР %,Эквайринг (РУБ),СТОК (ШТ),ПЛАН заказов шт в день,ПЛАН заказов оборот в день,% выполнения ПЛАНа в шт,% выполнения ПЛАНа в руб.,Оборачиваемость (Дни),Тотал заказы (РУБ),Коммерческая маржа (РУБ),Коммерческая маржа %,Cредние продажи в день - за неделю,Клики общие (воронка продаж),Просмотры (реклама),Клики (реклама),"CTR, % (реклама)",Добавления в корзину (реклама),Добавления в корзину (воронка продаж),"CR в корзину, % (формула)","CR в заказ, % (формула)","CR из клика в заказ, % (формула)",Команда
tm2-2bk,TM2-2BK,235897252,Зеркала косметические,Wildberries,АТ,,20.10.2024,1,2720,1349.87,0,612,0,256.2105882,80,1.00,24.46,0.0090,27.3309322,0,1,2570,0.0100,0.0106,0,2720,1719.99848,0.6323523822,1,173,67,0,0.0000,0,6,0.0347,0.1667,0.0058,М+Н
tm1-1bk,TM1-1BK,201357761,Зеркала косметические,Wildberries,АТ,,20.10.2024,12,2880,1247.31,0,7776,64.7642142,2511.027059,960,0.73,331.77,0.0132,245.28,1,22,67166,0.0055,0.0051,0,34560,22671.15873,0.6559941761,3,936,823,48,0.1463,7,81,0.0865,0.1481,0.0128,М+Н
tm1-2bk,TM1-2BK,235897076,Зеркала косметические,Wildberries,АТ,,20.10.2024,15,3760.003333,1843.4,0,12690.01125,270.2633391,3136.658824,1200,0.87,396.15,0.0081,548.8875,0,19,72523,0.0079,0.0078,0,56400.05,38158.07909,0.6765610862,7,1061,1039,62,0.1510,4,71,0.0669,0.2113,0.0141,М+Н
fp1-2,FP1-2,262199804,Сковороды,Wildberries,АТ,,20.10.2024,27,3500,2195.29,0,18427.5,1200.771082,5615.685882,2160,0.96,4945.42,0.0545,929.2275,910,13,50739,0.0208,0.0186,91,94500,61221.39554,0.6478454554,10,4324,17952,719,0.1020,10,326,0.0754,0.0828,0.0062,Д+В
tm2-1wt,TM2-1WT,235897077,Зеркала косметические,Wildberries,АТ,,20.10.2024,6,2240,1349.87,0,3024,214.2677856,1287.263529,480,1.00,437.59,0.0326,163.9855932,189,13,34125,0.0046,0.0039,38,13440,7832.893092,0.5828045455,5,503,1126,24,0.1208,0,41,0.0815,0.1463,0.0119,М+Н
drl5-1,DRL5-1,236558991,Прочее,Wildberries,АТ,,20.10.2024,7,2456.052857,1740.51,0,3696.35955,14.0373324,1478.974118,560,0.71,0,0.0000,177.38,0,3,8109,0.0233,0.0212,0,17192.37,11265.619,0.655268529,3,323,0,0,0.0000,0,33,0.1022,0.2121,0.0217,Д+В
tm2-2wt,TM2-2WT,235897251,Зеркала косметические,Wildberries,АТ,,20.10.2024,16,3280,1349.87,0,11808,38.392704,3339.369412,1280,0.80,498.72,0.0119,444.976,0,5,15605,0.0320,0.0336,0,52480,35070.54188,0.6682648987,11,1421,1348,98,0.2069,5,107,0.0753,0.1495,0.0113,М+Н
drl4-1,DRL4-1,236557120,Прочее,Wildberries,АТ,,20.10.2024,2,2346,1549,0,1008.78,27.0848529,437.4211765,160,0.50,0,0.0000,32.7,23,4,10692,0.0050,0.0044,12,4692,3026.013971,0.6449305138,2,327,0,0,0.0000,0,27,0.0826,0.0741,0.0061,Д+В
h-gfc1-2,H-GFC1-2,201356036,Контейнеры,Wildberries,АТ,,20.10.2024,3,750,354.81,0,438.75,153.045,618.6317647,240,0.00,0.16,0.0000,81.99279661,0,46,34914,0.0007,0.0006,0,2250,717.4204387,0.3188535283,0,105,3,0,0.0000,0,6,0.0571,0.5000,0.0286,М+Н
h-gfc1-3,H-GFC1-3,201356035,Контейнеры,Wildberries,АТ,,20.10.2024,11,1400.089091,805.96,0,3003.1911,106.875,2313.816471,880,0.91,0,0.0000,186.21625,0,85,161415,0.0013,0.0010,0,15400.98,8910.881179,0.5785918285,11,318,0,0,0.0000,0,54,0.1698,0.2037,0.0346,М+Н
tm2-1bk,TM2-1BK,235897250,Зеркала косметические,Wildberries,АТ,,20.10.2024,3,2640.093333,1349.87,0,1782.063,191.0552784,668.6317647,240,1.00,347.3,0.0438,28.86,366,6,16098,0.0050,0.0049,122,7920.28,4662.369957,0.5886622641,3,332,870,9,0.0546,1,17,0.0512,0.1765,0.0090,М+Н
fp1-1,FP1-1,261789151,Сковороды,Wildberries,АТ,,20.10.2024,8,2700,1841.65,0,4212,944.6854081,1699.684706,640,1.00,630.84,0.0292,119.16,1304,2,6062,0.0400,0.0356,326,21600,13353.62989,0.6182236058,4,1632,1512,38,0.0850,3,62,0.0380,0.1290,0.0049,Д+В
tm1-1wt,TM1-1WT,201357762,Зеркала косметические,Wildberries,АТ,,20.10.2024,1,3120,1250.19,0,702,0,206.2105882,80,0.00,0,0.0000,11.08,0,6,21540,0.0017,0.0014,0,3120,2120.709412,0.6797145551,1,228,0,0,0.0000,0,2,0.0088,0.5000,0.0044,М+Н
tm1-2wt,TM1-2WT,235896954,Зеркала косметические,Wildberries,АТ,,20.10.2024,0,0,1842.26,0,0,0,0,0,0.00,0.02,0.0000,0,0,4,14980,0.0000,0.0000,0,0,-0.02,0,0,124,1,0,0.0000,0,1,0.0081,0.0000,0.0000,М+Н
pt2-1rd,PT2-1RD,201440823,Кастрюли,Wildberries,АТ,,20.10.2024,5,3000.032,1634.9,0,2925.0312,61.236,1071.052941,400,0.80,0,0.0000,136.654661,0,54,180954,0.0009,0.0008,0,15000.16,10406.1852,0.69373828,1,247,0,0,0.0000,0,38,0.1538,0.1316,0.0202,Д+В
h-gfc1-1,H-GFC1-1,201356034,Контейнеры,Wildberries,АТ,,20.10.2024,2,1475,653.16,0,575.25,1.280448,412.4211765,160,0.00,0.05,0.0000,25.24,0,113,177636,0.0002,0.0002,0,2950,1775.758376,0.6019519917,1,81,2,0,0.0000,0,2,0.0247,1.0000,0.0247,М+Н
b-mcm1-1,B-MCM1-1,215321575,Прочее,Wildberries,АТ,,20.10.2024,0,0,744.74,0,0,20.0609136,0,0,0.00,350.37,0.0000,0,74,1,1162,0.0000,0.0000,0,0,-370.4309136,0,0,22,811,22,0.0474,0,2,0.0909,0.0000,0.0000,М+Н
pt2-3gn,PT2-3GN,201440826,Кастрюли,Wildberries,АТ,,20.10.2024,2,3050.06,1503.02,0,1189.5234,17.415,462.4211765,160,1.00,0,0.0000,54.66186441,0,51,175134,0.0004,0.0003,0,6100.12,4216.098559,0.6911501018,2,232,0,0,0.0000,0,27,0.1164,0.0741,0.0086,Д+В
at-001w,AT-001W,,Прочее,Wildberries,АТ,,20.10.2024,0,0,355.8,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002g,AT-002G,,Прочее,Wildberries,АТ,,20.10.2024,0,0,542.35,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002be,AT-002BE,,Прочее,Wildberries,АТ,,20.10.2024,0,0,0,0,0,0,0,0,0.00,0,0.0000,0,0,1,988,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002bk,AT-002BK,,#N/A,Wildberries,АТ,,20.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,1,935,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
ldm1-1,LDM1-1,,#N/A,Wildberries,АТ,,20.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
pt1-1,PT1-1,201440828,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,1347.52,0,0,0,0,0,0.00,0,0.0000,0,0,377,1095562,0.0000,0.0000,0,0,0,0,0,6,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-2,PT1-2,201440827,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,2096.16,0,0,0,0,0,0.00,0,0.0000,0,6,357,1595790,0.0000,0.0000,0,0,0,0,0,2,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-3,PT1-3,201440830,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,2172.26,0,0,0,0,0,0.00,0,0.0000,0,0,125,560375,0.0000,0.0000,0,0,0,0,0,6,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-4,PT1-4,201440822,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,1494.37,0,0,0,0,0,0.00,0,0.0000,0,0,214,688866,0.0000,0.0000,0,0,0,0,0,15,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-5,PT1-5,201440824,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,2076.05,0,0,0,0,0,0.00,0,0.0000,0,1,148,709660,0.0000,0.0000,0,0,0,0,0,21,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-6,PT1-6,201440829,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,1852.07,0,0,0,0,0,0.00,0,0.0000,0,0,127,505079,0.0000,0.0000,0,0,0,0,0,8,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-7,PT1-7,201440825,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,1064.25,0,0,0,0,0,0.00,0,0.0000,0,0,85,187255,0.0000,0.0000,0,0,0,0,0,7,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt2-2gr,PT2-2GR,201440831,Кастрюли,Wildberries,АТ,,20.10.2024,0,0,1527.91,0,0,0,0,0,0.00,0,0.0000,0,0,94,326650,0.0000,0.0000,0,0,0,0,0,7,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1br,SHC1-1BR,,Прочее,Wildberries,АТ,,20.10.2024,0,0,683.74,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1gr,SHC1-1GR,,Прочее,Wildberries,АТ,,20.10.2024,0,0,670.61,0,0,0,0,0,0.00,0,0.0000,0,0,3,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1bk,SHC1-1BK,,Прочее,Wildberries,АТ,,20.10.2024,0,0,661.58,0,0,0,0,0,0.00,0,0.0000,0,0,1,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
hng1-1w,HNG1-1W,,#N/A,Wildberries,АТ,,20.10.2024,0,0,889.61,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
hng1-1bk,HNG1-1BK,,Прочее,Wildberries,АТ,,20.10.2024,0,0,850.66,0,0,0,0,0,0.00,0,0.0000,0,0,1,1630,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
cpt1-1gr,CPT1-1GR,,Коврики для ванной,Wildberries,АТ,,20.10.2024,0,0,652.64,0,0,0,0,0,0.00,0,0.0000,0,0,15,26775,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
cpt1-1be,CPT1-1BE,,Коврики для ванной,Wildberries,АТ,,20.10.2024,0,0,654.44,0,0,0,0,0,0.00,0,0.0000,0,0,15,25785,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
hl1-1,HL1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,495.21,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tvb1-1,TVB1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,362.52,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1wt,PHA1-1WT,,Прочее,Wildberries,АТ,,20.10.2024,0,0,716.88,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1bk,PHA1-1BK,,#N/A,Wildberries,АТ,,20.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1pk,PHA1-1PK,,Прочее,Wildberries,АТ,,20.10.2024,0,0,608.9,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1gr,PHA1-1GR,,Прочее,Wildberries,АТ,,20.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1rd,PHA1-1RD,,Прочее,Wildberries,АТ,,20.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-1,H-ORG1-1,201443339,Контейнеры,Wildberries,АТ,,20.10.2024,0,0,581.49,0,0,0,0,0,0.00,0,0.0000,0,0,13,16159,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-2,H-ORG1-2,201443340,Контейнеры,Wildberries,АТ,,20.10.2024,0,0,468.65,0,0,0,0,0,0.00,0,0.0000,0,0,3,2397,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-3,H-ORG1-3,,Контейнеры,Wildberries,АТ,,20.10.2024,0,0,787.28,0,0,0,0,0,0.00,0,0.0000,0,0,2,3452,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
k-ebr-1-1,K-EBR-1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,403.01,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
b-drs1-1,B-DRS1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,599.76,0,0,0,0,0,0.00,0,0.0000,0,0,1,300,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tvb1-2,TVB1-2,,Прочее,Wildberries,АТ,,20.10.2024,0,0,701.59,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
k-pmc1-1,K-PMC1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,552.53,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-lb1-1gr,H-LB1-1GR,,Корзины для белья,Wildberries,АТ,,20.10.2024,0,0,543.77,0,0,0,0,0,0.00,0,0.0000,0,0,17,25262,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-lb1-1wt,H-LB1-1WT,,Корзины для белья,Wildberries,АТ,,20.10.2024,0,0,540.01,0,0,0,0,0,0.00,0,0.0000,0,0,25,34850,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-led-1-1-15,H-LED-1-1-15,,Прочее,Wildberries,АТ,,20.10.2024,0,0,829.76,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-led-1-1-20,H-LED-1-1-20,,Прочее,Wildberries,АТ,,20.10.2024,0,0,1021.25,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-sj1-1,H-SJ1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,789.78,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-1wt,H-TC1-1WT,201441857,Мусорные ведра,Wildberries,АТ,,20.10.2024,0,0,557.56,0,0,0,0,0,0.00,0,0.0000,0,0,9,11268,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
dydb1-1,DYDB1-1,,Шуруповерты,Wildberries,АТ,,20.10.2024,0,0,1912.69,0,0,0,0,0,0.00,0,0.0000,0,0,10,35360,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
dywr1-1,DYWR1-1,,Гайковерты,Wildberries,АТ,,20.10.2024,0,0,3032.58,0,0,0,0,0,0.00,0,0.0000,0,0,13,76778,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
dygr1-1,DYGR1-1,,Шлифовальные машины,Wildberries,АТ,,20.10.2024,0,0,3417.01,0,0,0,0,0,0.00,0,0.0000,0,0,4,22628,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-cpt2-1ca,H-CPT2-1CA,,Коврики для ванной,Wildberries,АТ,,20.10.2024,0,0,364.61,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-cpt2-1be,H-CPT2-1BE,,Коврики для ванной,Wildberries,АТ,,20.10.2024,0,0,354.49,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-mop 1-1,H-MOP1-1,201443962,Швабры,Wildberries,АТ,,20.10.2024,0,0,372.61,0,0,0,0,0,0.00,0,0.0000,0,0,3,2877,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
b-fcm1-1wt,B-FCM1-1WT,,Прочее,Wildberries,АТ,,20.10.2024,0,0,464.03,0,0,0,0,0,0.00,0,0.0000,0,0,3,6000,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
b-fcm1-1bk,B-FCM1-1BK,,Прочее,Wildberries,АТ,,20.10.2024,0,0,459.89,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-dsp1-1,H-DSP1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,1326.92,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
b-mg1-1,B-MG1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,2153.4,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
cpt1-1-1mgr,CPT1-1-1MGR,,Коврики для ванной,Wildberries,АТ,,20.10.2024,0,0,651.12,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,#N/A
cpt1-1mbe,CPT1-1MBE,,Коврики для ванной,Wildberries,АТ,,20.10.2024,0,0,655.35,0,0,0,0,0,0.00,0,0.0000,0,0,15,23595,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-bowl1-2,H-BOWL1-2,,Миски,Wildberries,АТ,,20.10.2024,0,0,628.47,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-bowl1-2c,H-BOWL1-2C,,Миски,Wildberries,АТ,,20.10.2024,0,0,737.84,0,0,0,0,0,0.00,0,0.0000,0,0,13,19162,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-gfc 2-1,H-GFC2-1,216854130,Контейнеры,Wildberries,АТ,,20.10.2024,0,0,533.84,0,0,50.625,0,0,0.00,0.05,0.0000,0,1,22,24244,0.0000,0.0000,0,0,-50.675,0,12,80,1,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
drl2-1,DRL2-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,1322.8,0,0,0,0,0,0.00,0,0.0000,0,0,1,2263,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
drl3-1,DRL3-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,634.37,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
gr1-2,GR1-2,,Прочее,Wildberries,АТ,,20.10.2024,0,0,2387.47,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
wr1-2,WR1-2,,Прочее,Wildberries,АТ,,20.10.2024,0,0,2034.42,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
chs1-1,CHS1-1,,Прочее,Wildberries,АТ,,20.10.2024,0,0,1643.55,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-tc1-2wt,H-TC1-2WT,,Мусорные ведра,Wildberries,АТ,,20.10.2024,0,0,488.51,0,0,0,0,0,0.00,0,0.0000,0,0,11,14289,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-3wt,H-TC1-3WT,,Мусорные ведра,Wildberries,АТ,,20.10.2024,0,0,478.38,0,0,0,0,0,0.00,0,0.0000,0,0,2,2410,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-4wt,H-TC1-4WT,,Мусорные ведра,Wildberries,АТ,,20.10.2024,0,0,713.09,0,0,0,0,0,0.00,0,0.0000,0,0,17,27489,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-5wt,H-TC1-5WT,,Мусорные ведра,Wildberries,АТ,,20.10.2024,0,0,765.44,0,0,0,0,0,0.00,0,0.0000,0,0,15,21165,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
shc1-2,SHC1-2,,#N/A,Wildberries,АТ,,20.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
at-003bk,AT-003BK,,Прочее,Wildberries,АТ,,20.10.2024,0,0,980.35,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
at-003w,AT-003W,,Прочее,Wildberries,АТ,,20.10.2024,0,0,981.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
fp1-3,FP1-3,,Сковороды,Wildberries,КРАВЧИК,,20.10.2024,0,0,2945.71,0,0,0,0,0,0.00,0,0.0000,0,0,34,185878,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tm2-2bk,TM2-2BK,,Зеркала косметические,Wildberries,КРАВЧИК,,20.10.2024,0,0,1349.87,0,0,0,0,0,0.00,0,0.0000,0,0,1,2570,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tm1-1bk,TM1-1BK,,Зеркала косметические,Wildberries,КРАВЧИК,,20.10.2024,0,0,1247.31,0,0,0,0,0,0.00,0,0.0000,0,0,22,67166,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tm1-2bk,TM1-2BK,,Зеркала косметические,Wildberries,КРАВЧИК,,20.10.2024,0,0,1843.4,0,0,0,0,0,0.00,0,0.0000,0,0,19,72523,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
fp1-2,FP1-2,,Сковороды,Wildberries,КРАВЧИК,,20.10.2024,0,0,2195.29,0,0,0,0,0,0.00,0,0.0000,0,0,13,50739,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tm2-1wt,TM2-1WT,,Зеркала косметические,Wildberries,КРАВЧИК,,20.10.2024,0,0,1349.87,0,0,0,0,0,0.00,0,0.0000,0,0,13,34125,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
drl5-1,DRL5-1,,Прочее,Wildberries,КРАВЧИК,,20.10.2024,0,0,1740.51,0,0,0,0,0,0.00,0,0.0000,0,0,3,8109,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tm2-2wt,TM2-2WT,,Зеркала косметические,Wildberries,КРАВЧИК,,20.10.2024,0,0,1349.87,0,0,0,0,0,0.00,0,0.0000,0,0,5,15605,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
drl4-1,DRL4-1,,Прочее,Wildberries,КРАВЧИК,,20.10.2024,0,0,1549,0,0,0,0,0,0.00,0,0.0000,0,0,4,10692,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-gfc1-2,H-GFC1-2,,Контейнеры,Wildberries,КРАВЧИК,,20.10.2024,0,0,354.81,0,0,0,0,0,0.00,0,0.0000,0,0,46,34914,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-gfc1-3,H-GFC1-3,,Контейнеры,Wildberries,КРАВЧИК,,20.10.2024,0,0,805.96,0,0,0,0,0,0.00,0,0.0000,0,0,85,161415,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
